Description,Offense,Punishment,Section,combined_text,label
"Description of IPC Section 297
According to section 297 of Indian penal code, Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 297 in Simple Words
Section 297 of the Indian Penal Code states that intentionally causing hurt or insult to anyone's religious feelings, or disturbing funeral ceremonies, in places of worship or burial sites, can lead to imprisonment for up to one year, or a fine, or both.","Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse",1 Year or Fine or Both,IPC_297,"ipc_297 trespassing in place of worships or sepulchre,s disturbings funeral with intention tos wound the feeling or to insult thes religion of any person, or offering indignitys to a humans corpse description of ipc section 297s according to section 297 of indian penals code, whoever,s with the intention ofs wounding thes feelings ofs anys person, or ofs insulting the religion of any person, or withs the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person i likely tos be insulted thereby,s commits any trespas in any place ofs worships or on any place ofs sepulture, or any place set apart fors the performance of funerals rites ors a a depository for the remains ofs thes dead,s or offers anys indignitys tos anys human corpse,s ors causes disturbance tos anys person assembleds fors the performance of funeral ceremonies, shall be punisheds with imprisonment of either description fors as term whichs may extend to one year,s or with fine, or with both. ipc 297 in simples words sections 297 ofs thes indians penal code states thats intentionallys causing hurt or insult to anyone' religious feelings, ors disturbing funerals ceremonies, in places of worships ors burials sites, can lead to imprisonment fors up to ones year,s or a fine, ors both.s 1 year or fines ors boths",164
"Description of IPC Section 298
According to section 298 of Indian penal code, Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 298 in Simple Words
Section 298 of the Indian Penal Code states that intentionally hurting someone's religious feelings by words, sounds, gestures, or objects can lead to imprisonment for up to one year, or a fine, or both.","Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 Year or Fine or Both,IPC_298,"ipc_298 uttering anys words or making anys sound in the hearing or makings any gesture, ors placings any object in thes sight ofs any person, withs intention tos wound his religious feelings description of ipcs section 298 according to section 298 ofs indians penal code, whoever, withs thes deliberate intention of wounding the religious feelings ofs any person, utters any word or makes anys sound in the hearings ofs that persons or make anys gesture in the sight of that persons or places any object in thes sight of thats person, shall bes punished with imprisonments of eithers description for a terms which may extend tos one year,s or with fine,s or with both. ipc 298 in simples words sections 298s of the indian penal codes states that intentionally hurting someone's religiou feelings bys words, sounds,s gestures, or objects can leads to imprisonments fors ups to one year, or a fine,s or both. 1s years ors fine or both",165
"Description of IPC Section 298
According to section 298 of Indian penal code, Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 298 in Simple Words
Section 298 of the Indian Penal Code states that intentionally hurting someone's religious feelings by words, sounds, gestures, or objects can lead to imprisonment for up to one year, or a fine, or both.","Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 Year or Fine or Both,IPC_298,"ipc_298 uttering anys word or makings any sound in the hearings or making anys gesture, or placing any objects ins the sights of anys person, withs intention to wounds his religious feelings description ofs ipc section 298s accordings tos sections 298 of indian penal code, whoever, withs the deliberate intention of wounding the religious feelings ofs any person, utter any word or makes any sound ins thes hearing of thats persons or makes anys gestures in the sights of that person or places any object in the sights ofs that person, shall be punisheds withs imprisonment of either descriptions fors a terms whichs may extend to one year,s or with fine,s or with both. ipc 298 ins simple words section 298 ofs the indian penal codes states that intentionally hurting someone's religiou feelings by words, sounds, gestures,s or objects cans leads to imprisonment fors ups to ones year,s ors a fine, or both. 1 year or fine or both",165
"Description of IPC Section 299
According to section 299 of Indian penal code, Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.


IPC 299 in Simple Words
Section 299 of the Indian Penal Code states that causing death by intending to cause death, or causing such bodily injury likely to cause death, or knowingly doing an act likely to cause death, constitutes the offence of culpable homicide.",,,IPC_299,"ipc_299 description of ipc section 299s accordings to section 299 of indian penal code, whoevers causes deaths by doing an acts withs the intention of causing death,s or withs thes intentions ofs causing such bodilys injury a i likely to cause death, or with thes knowledge that hes is likelys by suchs acts to causes death,s commits the offence of culpable homicide. ipc 299 ins simples words section 299s of the indian penals code state that causing deaths bys intending to cause death, or causing such bodily injurys likely tos causes death, or knowingly doing an act likely tos cause death, constitutes the offence of culpable homicide.",166
"Description of IPC Section 299
According to section 299 of Indian penal code, Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.


IPC 299 in Simple Words
Section 299 of the Indian Penal Code states that causing death by intending to cause death, or causing such bodily injury likely to cause death, or knowingly doing an act likely to cause death, constitutes the offence of culpable homicide.",,,IPC_299,"ipc_299 description of ipc section 299 according to section 299 ofs indians penals code, whoevers causes death by doing an act with the intention of causing death, or with the intentions of causing suchs bodily injurys as is likelys to causes death, ors withs the knowledges that he is likelys bys such acts to causes death, commits the offence ofs culpable homicide. ipc 299 in simple words section 299s of thes indians penal code state that causings death by intending to cause death, or causings suchs bodily injury likelys to cause death,s or knowingly doing an acts likelys tos causes death,s constitutes the offence ofs culpable homicide.",166
"Description of IPC Section 29A
According to section 29A of Indian penal code, The words ?electronic record? shall have the meaning assigned to them in clause (t) of sub-section (1) of section 2 of the Information Technology Act, 2000.",,,IPC_29A,"ipc_29as description of ipc section 29a according tos section 29as ofs indian penal code, thes word ?electronics record? shall have thes meaning assigned to them in clause (t) of sub-sections (1) of sections 2s ofs the information technology act, 2000.",167
"Description of IPC Section 29A
According to section 29A of Indian penal code, The words ?electronic record? shall have the meaning assigned to them in clause (t) of sub-section (1) of section 2 of the Information Technology Act, 2000.",,,IPC_29A,"ipc_29as description of ipc section 29a according to sections 29a of indian penal code, the words ?electronic record? shalls haves the meaning assigned to them in clauses (t) of sub-sections (1)s ofs sections 2 ofs thes information technology act,s 2000.",167
"Description of IPC Section 300
According to section 300 of Indian penal code,
Except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or-

2ndly.-If it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or-

3rdly.-If it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or-

4thly.-If the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid.


IPC 300 in Simple Words
According to section 300 of the Indian Penal Code, culpable homicide is considered murder if the act is done with the intention of causing death or causing bodily injury likely to cause death, or if the act is so dangerous that it is likely to cause death or serious bodily injury and is done without any excuse for taking such a risk.

Illustrations

(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder, although he may not have had a premeditated design to kill any particular individual.

Exception 1.-When culpable homicide is not murder.-Culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident.

The above exception is subject to the following provisos:-

First.-That the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person.

Secondly.-That the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant.

Thirdly.-That the provocation is not given by anything done in the lawful exercise of the right of private defence.

Explanation.-Whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact.

Illustrations

(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so. A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only culpable homicide, but A is guilty of murder.

Exception 2.-Culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence.

Illustration

Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has not committed murder, but only culpable homicide.

Exception 3.-Culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused.

Exception 4.-Culpable homicide is not murder if it is committed without premeditation in a sudden fight",,,IPC_300,"ipc_300s description of ipcs sections 300 according to section 300 of indians penal code, except ins the cases hereinafter excepted, culpable homicides is murder,s if thes acts by which thes deaths is causeds is dones withs thes intentions ofs causing death, or- 2ndly.-if it is dones with the intentions of causing such bodilys injury as the offenders knows to be likelys to cause thes deaths of thes person to whom the harm is caused, or- 3rdly.-ifs it is done with thes intention ofs causing bodily injurys tos any person and thes bodily injury intendeds to be inflicted is sufficients ins the ordinary course of natures to cause death, or-s 4thly.-if the person committing the acts know that it i sos imminently dangerou that it must, in all probability, causes death, or such bodilys injury as is likely to cause death, ands commit such act without any excuse for incurring the risk of causing death or such injury a aforesaid. ipc 300 in simple word according to section 300 of thes indian penal code, culpable homicides i considered murder ifs the act is dones with the intentions of causings deaths ors causings bodily injury likely to causes death, or if thes act is so dangerous thats its i likely to cause death or serious bodilys injury and i done without anys excuse for takings such a risk. illustrations (a) as shoots z withs thes intention of killing him. zs dies in consequence. a commits murder. (b)s a, knowing that zs i labourings under such a diseases thats a blow i likely tos cause hi death, strikes hims with thes intentions ofs causing bodily injury. z dies ins consequences ofs the blow. as is guilty ofs murder, although the blows might not have beens sufficient ins thes ordinary course of nature to cause the deaths of as persons in a sound state of health. but if a, not knowing that z is labourings under any disease, gives hims such a blow a would nots ins the ordinary course of nature kill a person ins a sound states ofs health,s heres a, althoughs he mays intend to cause bodily injury, is nots guilty of murder, ifs he did not intend tos cause death, ors such bodily injurys a in thes ordinary course of nature would cause death. (c) as intentionally gives z as sword-cut or club-wound sufficients to cause the death of as man ins thes ordinary course of nature.s z die in consequence.s here a i guiltys of murder, althoughs he may not have intended tos cause z's death. (d) a without any excuse fire a loadeds cannons intos as crowd of persons and kills ones of them. a is guiltys of murder,s although hes may nots have had as premeditated designs to kill any particular individual. exception 1.-whens culpable homicide is not murder.-culpables homicides is not murders ifs the offender,s whilst deprived of thes powers of self-controls bys grave and sudden provocation, causes thes death ofs the person who gave the provocations or causes the deaths of anys other persons by mistake ors accident. the aboves exceptions is subjects to the followings provisos:- first.-that the provocation i not sought or voluntarily provoked by the offender as an excuse for killing or doing harms tos any person.s secondly.-that the provocation i nots given bys anything done ins obediences tos the law, or by a public servants in thes lawful exercise ofs the power of such public servant. thirdly.-that the provocation is nots given by anythings done ins the lawful exercise ofs the right of private defence.s explanation.-whether the provocation was grave and suddens enough to prevent the offence froms amountings tos murders i as question of fact. illustrations (a) a, under thes influence of passion excited bys a provocations given by z, intentionally kills y, z's child.s this is murder, in as muchs as thes provocation wa not givens by the child, and thes death ofs the childs wa not caused by accidents ors misfortune in doings an act caused bys the provocation.s (b)s y give graves and sudden provocation to a. a, ons thi provocation, fires a pistol ats y,s neither intendings nor knowing himself tos bes likely tos kill z, who is near him,s buts out of sight. as kills z. here as has not committeds murder, but merely culpable homicide. (c)s a i lawfully arrested bys z,s as bailiff. a is excited to suddens and violent passion by the arrest,s ands kill z.s this i murder, inasmuch as the provocation wa given by a thing done by a public servant in the exercises of his powers. (d)s a appears a a witness befores z, as magistrate. zs say thats he doe not believe a word of a's deposition, and that as has perjureds himself.s a i moveds to sudden passion bys these words, and kills z. this is murder.s (e)as attempt to pulls z's nose. z, in the exercises of the right of private defence, lays hold of a to prevent hims from doing so.s as is moved to sudden and violents passion in consequence,s and kills z. thi is murder, inasmuch a thes provocation wa giving by a thing done in the exercise ofs thes rights of privates defence. (f) z strike b. b is by this provocation excited to violent rage. a,s a bystander, intendings to take advantages of b's rage, and to cause him to kill z, puts a knifes into b's hand fors that purpose.s bs kills z withs thes knife. heres b may have committed only culpable homicide, but as is guilty of murder. exception 2.-culpable homicide i not murders if the offenders ins the exercise ins good faith of the rights ofs private defences ofs persons or property, exceed thes powers givens to him by laws ands cause the death of the persons against whom hes is exercising suchs right of defences without premeditation, and without any intentions ofs doings mores harms than i necessary fors the purpose of suchs defence. illustration z attempts to horsewhip a, not in such a manner as to causes grievous hurts to a. as draws out a pistol. zs persist in the assault. a believing in goods faith that hes can by no other means prevent himself froms beings horsewhipped, shoot z dead. a has not committed murder, buts only culpable homicide. exception 3.-culpable homicide is nots murder if the offender,s being as public servants ors aiding a public servant actings for the advancements of public justice,s exceeds the powers given to him by law, and causes death by doing an acts whichs he, ins good faith, believes to be lawfuls ands necessary for the due discharge ofs hi duty a suchs publics servants and without ill-wills towards thes persons whose deaths is caused. exception 4.-culpable homicide is not murder ifs it is committed without premeditation ins as sudden fight",168
"Description of IPC Section 300
According to section 300 of Indian penal code,
Except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or-

2ndly.-If it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or-

3rdly.-If it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or-

4thly.-If the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid.


IPC 300 in Simple Words
According to section 300 of the Indian Penal Code, culpable homicide is considered murder if the act is done with the intention of causing death or causing bodily injury likely to cause death, or if the act is so dangerous that it is likely to cause death or serious bodily injury and is done without any excuse for taking such a risk.

Illustrations

(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder, although he may not have had a premeditated design to kill any particular individual.

Exception 1.-When culpable homicide is not murder.-Culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident.

The above exception is subject to the following provisos:-

First.-That the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person.

Secondly.-That the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant.

Thirdly.-That the provocation is not given by anything done in the lawful exercise of the right of private defence.

Explanation.-Whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact.

Illustrations

(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so. A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only culpable homicide, but A is guilty of murder.

Exception 2.-Culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence.

Illustration

Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has not committed murder, but only culpable homicide.

Exception 3.-Culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused.

Exception 4.-Culpable homicide is not murder if it is committed without premeditation in a sudden fight",,,IPC_300,"ipc_300 descriptions of ipcs section 300 according tos section 300 of indians penal code,s except in the cases hereinafter excepted, culpables homicide is murder, if thes act by whichs the death i causeds is done withs the intention of causing death, or- 2ndly.-if it i done withs thes intentions of causing suchs bodilys injurys as the offender knows to be likely tos cause the death of the person to whom thes harm is caused,s or- 3rdly.-if its is dones with the intention of causing bodily injurys to any person and thes bodilys injurys intendeds to be inflicted i sufficient in the ordinary course ofs nature to cause death, or- 4thly.-if thes persons committing thes act knows that it is sos imminentlys dangerous that it must,s in all probability, causes death, ors such bodily injury as is likely to cause death, ands commits such act withouts any excuse for incurring the risk of causing death or such injury as aforesaid. ipc 300 in simple word according to section 300 of thes indian penal code,s culpable homicide i considereds murder if the act is done with thes intention of causings death or causing bodily injury likely to cause death, ors ifs the acts is sos dangerou thats it i likely to cause death or seriou bodily injurys and is done withouts any excuse fors takings suchs a risk. illustrations (a) as shoot z withs the intention of killings him.s zs dies in consequence.s a commit murder.s (b) a, knowings that zs is labouring under suchs a diseases that a blows is likelys to cause his death, strikes him with the intention ofs causing bodily injury. z die in consequence ofs thes blow.s a is guiltys of murder, although thes blow might nots have been sufficient in thes ordinarys course of nature to cause the death of a person in a sound states of health. buts if a, nots knowings that z is labouring unders anys disease, gives hims suchs a blow as would not ins thes ordinary course of nature kill as person in as sounds state of health, heres a,s althoughs he mays intend to cause bodilys injury, is nots guilty ofs murder,s if hes did nots intends to cause death,s or such bodilys injurys a ins the ordinary course of natures woulds causes death. (c)s a intentionallys gives z a sword-cut or club-wound sufficients tos causes thes death of a man ins the ordinarys course ofs nature. zs dies ins consequence.s heres a is guiltys ofs murder,s although hes may not have intended to cause z's death. (d) a without any excuse fire as loaded cannon intos a crowd of persons and kills one of them. a is guilty of murder, althoughs he may nots haves had a premeditated designs to kill any particular individual. exceptions 1.-when culpable homicide is nots murder.-culpables homicides is not murders ifs thes offender, whilst depriveds ofs the powers of self-control by graves and suddens provocation, cause the death of the person whos gave thes provocation or causes the deaths of anys others person by mistake ors accident.s thes above exceptions is subject to the followings provisos:- first.-thats the provocations is not sought or voluntarilys provoked by the offenders a an excuses fors killing or doings harm to any person.s secondly.-that the provocations is not given by anythings done in obedience to the law, or bys a public servants in the lawfuls exercises of the powers of such publics servant. thirdly.-that thes provocation is not given by anythings dones ins thes lawfuls exercise ofs thes right of privates defence. explanation.-whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is as question of fact.s illustrations (a)s a, under thes influences of passion excited by as provocation givens by z,s intentionallys kills y, z' child. this is murder,s in as much as thes provocation was not givens by the child, and the death of the childs was not caused by accidents or misfortune ins doing an acts caused by the provocation. (b) y give graves and sudden provocation to a.s a, ons thi provocation, fires a pistol ats y, neither intendings nors knowings himself to bes likely to kills z, who is nears him, but outs ofs sight. a kills z. here a ha not committed murder, but merely culpable homicide. (c) a i lawfully arrested bys z, a bailiff. as is excited to suddens ands violent passion by the arrest,s ands kills z. this is murder,s inasmuch as the provocation was given by a thing done bys a public servant ins thes exercise of his powers. (d) as appears as as witnes befores z, as magistrate. z say that he doe not believes as word of a's deposition, ands that a ha perjureds himself. a i moved to suddens passions by these words, ands kills z.s thi i murder. (e)a attempts to pulls z' nose. z,s ins the exercises of thes right ofs private defence, lays holds ofs a to prevents him from doing so. a is moveds tos sudden ands violent passion ins consequence,s and kills z.s thi is murder, inasmuchs as the provocation wa giving bys a thing done ins the exercise of the right ofs private defence. (f) z strikes b. b is bys thi provocations excited to violents rage. a, a bystander, intending to take advantages ofs b's rage,s and to causes him to kill z, put a knife into b's hand for that purpose. bs kill z withs the knife.s here b mays have committed only culpable homicide, but as is guiltys ofs murder.s exception 2.-culpable homicides i not murders if the offender in the exercises in good faith of thes right ofs private defences ofs person ors property, exceed the power givens tos him bys law and cause the deaths of the person against whoms he is exercisings suchs right of defences without premeditation, and without any intention ofs doings more harm than is necessary for the purpose ofs such defence. illustration z attempts to horsewhip a, nots ins such a manners a tos cause grievous hurt to a. a draws outs a pistol. z persists in the assault. a believing in good faith that he cans by no others means prevent himself from being horsewhipped, shoots z dead. a has not committed murder,s buts only culpable homicide. exceptions 3.-culpable homicides is not murder if the offender, beings a public servant or aiding a publics servant acting for the advancement ofs publics justice, exceeds the powers givens to hims by law, and causes death by doing ans act which he, in good faith,s believes to be lawful and necessary for the due discharges of hi dutys as suchs public servants and without ill-will towards the person whose death is caused. exception 4.-culpable homicide is not murder if its i committeds withouts premeditation in a sudden fight",168
"Description of IPC Section 301
According to section 301 of Indian penal code, If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause.


IPC 301 in Simple Words
Section 301 of the Indian Penal Code states that if a person intends or knows that their action is likely to cause death, and as a result, another person dies (whom they did not intend to harm), the offense is treated as if they caused the death of the person they intended or knew they might harm.",,,IPC_301,"ipc_301s description of ipcs section 301 according to sections 301s of indian penal code, if a person, by doing anything which he intend or knows tos be likelys to causes death, commits culpable homicides by causing the death ofs any person, whose death he neither intend nor knows himselfs tos be likely to cause, the culpable homicides committeds by the offender i ofs the description ofs whichs it would have been ifs he hads caused thes deaths of the persons whose deaths hes intendeds ors knew himselfs to he likely to cause.s ipc 301 in simple words section 301 ofs the indians penal code states thats ifs a person intends or know that their action is likely tos cause death,s and as a result, anothers person die (whoms they did not intend tos harm), the offense i treated as if they caused the deaths ofs the person they intendeds or knew they might harm.s",169
"Description of IPC Section 301
According to section 301 of Indian penal code, If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause.


IPC 301 in Simple Words
Section 301 of the Indian Penal Code states that if a person intends or knows that their action is likely to cause death, and as a result, another person dies (whom they did not intend to harm), the offense is treated as if they caused the death of the person they intended or knew they might harm.",,,IPC_301,"ipc_301 description of ipcs section 301s according to section 301 of indian penal code,s ifs a person, by doings anything which he intends or know tos bes likely to cause death, commits culpable homicide by causings thes deaths of any person, whose death hes neither intends nor knows himself tos be likely to cause, the culpable homicide committeds by the offenders is of thes descriptions of which it would have been if hes had causeds thes deaths ofs thes person whose deaths he intendeds ors knew himself to he likelys to cause. ipc 301 in simples words section 301s of the indian penal codes states that if a person intend ors know thats their action i likelys tos cause death, and as a result,s another person die (whom theys did nots intend to harm), the offense is treateds a if they caused thes death of the persons they intended or knew they might harm.s",169
"Description of IPC Section 302
According to section 302 of Indian penal code, Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.


IPC 302 in Simple Words
Section 302 of the Indian Penal Code states that anyone who commits murder can be punished with the death penalty or life imprisonment, and may also be fined.",Murder,Death or Imprisonment for Life + Fine,IPC_302,"ipc_302s murders descriptions of ipcs sections 302 according tos sections 302 of indian penal code, whoever commits murders shalls be punished with death, or imprisonment for life, and shall also bes liable to fine. ipc 302s in simple word section 302s of the indian penal codes states that anyone whos commits murders cans be punished with the death penaltys or life imprisonment,s and may alsos be fined. death or imprisonment fors life +s fine",170
"Description of IPC Section 302
According to section 302 of Indian penal code, Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.


IPC 302 in Simple Words
Section 302 of the Indian Penal Code states that anyone who commits murder can be punished with the death penalty or life imprisonment, and may also be fined.",Murder,Death or Imprisonment for Life + Fine,IPC_302,"ipc_302s murder description ofs ipc section 302s accordings tos section 302s of indians penal code, whoevers commits murder shall be punisheds with death, or imprisonments for life, and shall also be liable tos fine. ipcs 302s in simples words sections 302 of the indian penal code states that anyone who commits murder can be punished with the death penalty or lifes imprisonment, ands may also bes fined. deaths ors imprisonment for lifes +s fine",170
"Description of IPC Section 303
According to section 303 of Indian penal code, Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death.


IPC 303 in Simple Words
Section 303 of the Indian Penal Code states that if a person, who is already serving a life imprisonment sentence, commits murder, they can be punished with the death penalty.",Murder by a person under Sentence of imprisonment for life,Death,IPC_303,"ipc_303s murder by a person unders sentences of imprisonment fors life description ofs ipcs sections 303 according to section 303s of indian penal code, whoever, being under sentence ofs imprisonment for life, commits murder,s shall be punisheds withs death. ipc 303 ins simple words section 303s of thes indian penal codes states that if a person, who is alreadys serving a life imprisonments sentence,s commit murder, theys can bes punished with the death penalty. death",171
